id,dish_name,category,calories,price,remark
1,"炒米粉","风味晚餐",135,8.00,"主食+油脂"
2,"炒河粉","风味晚餐",135,8.00,"主食+油脂"
3,"炸鸡柳","风味晚餐",90,6.00,"油炸肉类"
4,"咖喱炒饭","风味晚餐",155,9.00,"咖喱酱+主食"
5,"咖喱炒面","风味晚餐",155,9.00,"咖喱酱+主食"
6,"糯米糍","风味晚餐",115,3.00,"糯米制品"
7,"玉米饺","风味晚餐",115,3.00,"蒸制面点"
8,"韭菜饺子","风味晚餐",115,3.00,"蒸制面点"
9,"生煎包子","风味晚餐",115,4.00,"煎制含底油"
10,"煎鸡蛋饼","风味晚餐",165,5.00,"煎制含油脂"
11,"煎饺","风味晚餐",100,4.00,"煎制面点"
12,"孜然土豆块","风味晚餐",110,4.00,"碳水+油脂"
13,"香煎玉米饼","风味晚餐",130,4.00,"煎制面点"
14,"葡挞","风味晚餐",190,5.00,"黄油+奶油"
15,"酸菜煎饼","风味晚餐",140,5.00,"煎制面点"
16,"韭菜饼","风味晚餐",140,5.00,"煎制面点"
17,"绿豆糕","风味晚餐",90,3.00,"含糖糕点"
18,"红枣糕","风味晚餐",90,3.00,"含糖糕点"
19,"炸麦乐鸡块","风味晚餐",165,6.00,"油炸肉类"
20,"香芋丝饼","风味晚餐",165,5.00,"油炸面点"
21,"春卷","风味晚餐",165,4.00,"油炸面点"
22,"马蹄糕","风味晚餐",80,3.00,"蒸制糕点"
23,"糯玉米棒","风味晚餐",130,3.00,"粗粮碳水"
24,"甜玉米棒","风味晚餐",110,2.00,"粗粮碳水"
25,"糯米鸡","风味晚餐",275,6.00,"糯米+肉类"
26,"炸鸡腿","风味晚餐",200,8.00,"油炸肉类"
27,"炸鸡翅根","风味晚餐",165,7.00,"油炸肉类"
28,"桂花糕","风味晚餐",135,3.00,"含糖糕点"
29,"炸鸡米花","风味晚餐",225,7.00,"油炸肉类"
30,"蒸红薯","风味晚餐",115,2.00,"粗粮蒸煮"
31,"炒菜心","教师窗口",40,4.00,"清炒绿叶菜"
32,"炒豆芽","教师窗口",40,4.00,"清炒芽菜"
33,"清炒红萝卜丝","教师窗口",50,4.00,"清炒根茎菜"
34,"西红柿炒蛋","教师窗口",165,6.00,"鸡蛋+素菜"
35,"酸辣包菜","教师窗口",200,6.00,"素菜+肉片"
36,"花菜炒肉","教师窗口",200,6.00,"素菜+肉片"
37,"冬瓜炒肉片","教师窗口",200,6.00,"素菜+肉片"
38,"土豆丝炒肉","教师窗口",200,6.00,"素菜+肉片"
39,"西兰花炒肉","教师窗口",200,6.00,"素菜+肉片"
40,"油豆腐炒肉","教师窗口",215,7.00,"豆制品+肉"
41,"黑木耳炒肉","教师窗口",215,7.00,"菌菇+肉"
42,"香菇蒸滑鸡","教师窗口",265,8.00,"蒸煮低脂"
43,"土豆蒸排骨","教师窗口",265,8.00,"蒸煮低脂"
44,"水煮肉片","教师窗口",325,10.00,"高油肉类"
45,"三杯鸭","教师窗口",325,10.00,"卤制肉类"
46,"口水鸡","教师窗口",325,10.00,"红油肉类"
47,"小炒肉","教师窗口",325,9.00,"高油肉类"
48,"小炒仔鸡","教师窗口",325,9.00,"炒制肉类"
49,"蒜蓉蒸排骨","教师窗口",300,9.00,"蒸煮低脂"
50,"酱炒爽肉","教师窗口",320,9.00,"酱炒肉类"
51,"水煮鱼","教师窗口",315,12.00,"鱼肉+高油"
52,"水煮牛肉","教师窗口",375,13.00,"牛肉+高油"
